reg,cl_age90,jour,hosp,rea,rad,dc
6,39,03/05/2020,1,0,13,0
6,49,03/05/2020,4,2,23,2
6,59,03/05/2020,9,2,18,2
6,69,03/05/2020,10,2,15,1
6,79,03/05/2020,6,0,3,1
6,89,03/05/2020,2,0,6,2
6,90,03/05/2020,0,0,0,0
11,0,03/05/2020,10685,1550,18056,6116
11,9,03/05/2020,42,13,204,2
11,19,03/05/2020,33,15,112,3
11,29,03/05/2020,133,26,615,10
11,39,03/05/2020,321,63,1449,37
11,49,03/05/2020,580,157,2340,111
11,59,03/05/2020,1253,394,3489,411
11,69,03/05/2020,1811,471,3670,876
11,79,03/05/2020,2239,337,2913,1441
11,89,03/05/2020,2589,49,2208,1986
11,90,03/05/2020,1597,13,865,1186
24,0,03/05/2020,992,115,1232,401
24,9,03/05/2020,0,0,23,0
24,19,03/05/2020,1,0,13,0
24,29,03/05/2020,6,3,34,0
24,39,03/05/2020,13,3,66,2
24,49,03/05/2020,18,2,131,3
24,59,03/05/2020,55,15,176,11
24,69,03/05/2020,165,37,214,29
24,79,03/05/2020,204,47,240,66
24,89,03/05/2020,311,7,236,164
24,90,03/05/2020,211,1,96,124
27,0,03/05/2020,1143,174,2495,856
27,9,03/05/2020,3,2,15,0
27,19,03/05/2020,3,0,21,0
27,29,03/05/2020,5,1,75,0
27,39,03/05/2020,10,2,134,2
27,49,03/05/2020,23,7,231,5
27,59,03/05/2020,79,23,346,18
27,69,03/05/2020,157,51,440,75
27,79,03/05/2020,259,68,507,177
27,89,03/05/2020,399,20,533,384
27,90,03/05/2020,205,0,189,193
28,0,03/05/2020,575,86,1096,351
28,9,03/05/2020,0,0,3,0
28,19,03/05/2020,1,0,5,0
28,29,03/05/2020,2,0,42,0
28,39,03/05/2020,9,2,83,1
28,49,03/05/2020,15,8,124,10
28,59,03/05/2020,45,15,193,13
28,69,03/05/2020,96,26,217,52
28,79,03/05/2020,126,26,210,78
28,89,03/05/2020,177,9,165,135
28,90,03/05/2020,104,0,48,62
32,0,03/05/2020,2224,349,4171,1410
32,9,03/05/2020,1,1,43,0
32,19,03/05/2020,6,1,24,0
32,29,03/05/2020,13,4,178,1
32,39,03/05/2020,34,7,337,3
32,49,03/05/2020,73,30,515,10
32,59,03/05/2020,184,54,742,55
32,69,03/05/2020,358,124,739,184
32,79,03/05/2020,508,99,739,306
32,89,03/05/2020,733,27,598,563
32,90,03/05/2020,303,0,241,282
44,0,03/05/2020,3798,504,8313,2953
44,9,03/05/2020,20,5,165,0
44,19,03/05/2020,11,2,59,0
44,29,03/05/2020,19,6,265,2
44,39,03/05/2020,63,8,428,14
44,49,03/05/2020,123,27,688,31
44,59,03/05/2020,318,82,1297,76
44,69,03/05/2020,663,186,1684,307
44,79,03/05/2020,873,155,1693,746
44,89,03/05/2020,1104,24,1502,1204
44,90,03/05/2020,574,2,475,562
52,0,03/05/2020,629,70,1291,351
52,9,03/05/2020,0,0,4,0
52,19,03/05/2020,1,1,5,0
52,29,03/05/2020,2,2,49,0
52,39,03/05/2020,7,1,84,0
52,49,03/05/2020,16,6,142,4
52,59,03/05/2020,32,12,193,12
52,69,03/05/2020,95,25,247,34
52,79,03/05/2020,125,22,250,63
52,89,03/05/2020,225,1,237,145
52,90,03/05/2020,126,0,80,93
53,0,03/05/2020,369,45,862,219
53,9,03/05/2020,1,0,10,0
53,19,03/05/2020,1,0,6,0
53,29,03/05/2020,2,0,28,0
53,39,03/05/2020,3,0,64,0
53,49,03/05/2020,16,1,94,1
53,59,03/05/2020,31,7,134,5
53,69,03/05/2020,45,16,153,27
53,79,03/05/2020,94,19,188,46
53,89,03/05/2020,113,2,130,81
53,90,03/05/2020,61,0,52,59
75,0,03/05/2020,592,109,1485,329
75,9,03/05/2020,2,0,10,0
75,19,03/05/2020,3,0,9,0
75,29,03/05/2020,5,2,58,1
75,39,03/05/2020,6,2,96,1
75,49,03/05/2020,13,3,136,2
75,59,03/05/2020,49,22,264,10
75,69,03/05/2020,97,34,304,28
75,79,03/05/2020,133,37,245,74
75,89,03/05/2020,176,8,239,131
75,90,03/05/2020,105,1,115,81
76,0,03/05/2020,610,135,2125,410
76,9,03/05/2020,1,0,18,0
76,19,03/05/2020,1,0,16,0
76,29,03/05/2020,6,1,80,1
76,39,03/05/2020,6,2,137,1
76,49,03/05/2020,13,6,241,1
76,59,03/05/2020,61,18,356,14
76,69,03/05/2020,95,48,391,45
76,79,03/05/2020,148,49,423,79
76,89,03/05/2020,178,11,313,169
76,90,03/05/2020,101,0,149,100
84,0,03/05/2020,2482,358,5162,1364
84,9,03/05/2020,5,1,35,0
84,19,03/05/2020,11,7,39,0
84,29,03/05/2020,20,3,187,0
84,39,03/05/2020,31,0,299,4
84,49,03/05/2020,60,12,453,10
84,59,03/05/2020,165,42,788,39
84,69,03/05/2020,342,116,921,94
84,79,03/05/2020,608,140,984,276
84,89,03/05/2020,760,30,970,577
84,90,03/05/2020,464,2,414,344
93,0,03/05/2020,1503,237,3904,713
93,9,03/05/2020,1,0,24,0
93,19,03/05/2020,5,0,43,0
93,29,03/05/2020,22,3,264,1
93,39,03/05/2020,25,2,349,1
93,49,03/05/2020,52,12,458,4
93,59,03/05/2020,107,31,709,27
93,69,03/05/2020,204,68,722,55
93,79,03/05/2020,361,82,584,157
93,89,03/05/2020,456,30,481,297
93,90,03/05/2020,265,6,248,168
94,0,03/05/2020,56,8,191,51
94,9,03/05/2020,0,0,6,0
94,19,03/05/2020,0,0,1,0
94,29,03/05/2020,0,0,14,0
94,39,03/05/2020,0,0,16,0
94,49,03/05/2020,1,0,22,1
94,59,03/05/2020,4,1,30,1
94,69,03/05/2020,9,3,30,2
94,79,03/05/2020,20,4,31,13
94,89,03/05/2020,14,0,28,24
94,90,03/05/2020,8,0,13,10
1,0,04/05/2020,16,6,72,17
1,9,04/05/2020,0,0,0,0
1,19,04/05/2020,0,0,2,0
1,29,04/05/2020,0,0,1,0
1,39,04/05/2020,1,0,3,0
1,49,04/05/2020,0,0,5,0
1,59,04/05/2020,1,0,18,3
1,69,04/05/2020,6,3,17,2
1,79,04/05/2020,4,2,12,7
1,89,04/05/2020,4,1,13,4
1,90,04/05/2020,0,0,0,1
2,0,04/05/2020,21,8,77,14
2,9,04/05/2020,0,0,0,0
2,19,04/05/2020,0,0,0,0
2,29,04/05/2020,0,0,3,0
2,39,04/05/2020,0,0,4,0
2,49,04/05/2020,1,1,12,0
2,59,04/05/2020,9,5,17,1
2,69,04/05/2020,4,1,19,2
2,79,04/05/2020,5,0,15,4
2,89,04/05/2020,2,1,6,5
2,90,04/05/2020,0,0,1,2
3,0,04/05/2020,5,0,36,1
3,9,04/05/2020,0,0,0,0
3,19,04/05/2020,1,0,2,0
3,29,04/05/2020,0,0,4,0
3,39,04/05/2020,0,0,7,0
3,49,04/05/2020,4,0,10,0
3,59,04/05/2020,0,0,2,0
3,69,04/05/2020,0,0,4,0
3,79,04/05/2020,0,0,3,1
3,89,04/05/2020,0,0,2,0
3,90,04/05/2020,0,0,0,0
4,0,04/05/2020,4,2,111,0
4,9,04/05/2020,0,0,1,0
4,19,04/05/2020,0,0,4,0
4,29,04/05/2020,0,0,18,0
4,39,04/05/2020,0,0,13,0
4,49,04/05/2020,0,0,11,0
4,59,04/05/2020,1,0,19,0
4,69,04/05/2020,3,2,21,0
4,79,04/05/2020,0,0,16,0
4,89,04/05/2020,0,0,8,0
4,90,04/05/2020,0,0,0,0
6,0,04/05/2020,42,7,102,9
6,9,04/05/2020,0,0,2,0
6,19,04/05/2020,1,0,4,0
6,29,04/05/2020,8,1,14,0
6,39,04/05/2020,1,0,15,0
6,49,04/05/2020,5,2,24,2
6,59,04/05/2020,10,2,18,2
6,69,04/05/2020,10,2,16,1
6,79,04/05/2020,5,0,3,2
6,89,04/05/2020,2,0,6,2
6,90,04/05/2020,0,0,0,0
11,0,04/05/2020,10567,1501,18287,6208
11,9,04/05/2020,43,13,206,2
11,19,04/05/2020,32,13,114,3
11,29,04/05/2020,127,25,623,11
11,39,04/05/2020,317,62,1462,37
11,49,04/05/2020,572,152,2358,113
11,59,04/05/2020,1243,391,3511,418
11,69,04/05/2020,1781,450,3711,890
11,79,04/05/2020,2211,321,2961,1458
11,89,04/05/2020,2580,46,2252,2010
11,90,04/05/2020,1573,14,897,1213
24,0,04/05/2020,981,113,1248,411
24,9,04/05/2020,0,0,23,0
24,19,04/05/2020,1,0,13,0
24,29,04/05/2020,5,3,35,0
24,39,04/05/2020,12,4,68,2
24,49,04/05/2020,15,2,136,3
24,59,04/05/2020,56,15,177,11
24,69,04/05/2020,161,36,217,29
24,79,04/05/2020,200,46,240,70
24,89,04/05/2020,308,6,238,168
24,90,04/05/2020,215,1,98,126
27,0,04/05/2020,1141,161,2512,869
27,9,04/05/2020,3,2,15,0
27,19,04/05/2020,3,0,21,0
27,29,04/05/2020,4,0,76,0
27,39,04/05/2020,7,1,139,2
27,49,04/05/2020,22,7,233,5
27,59,04/05/2020,77,21,348,18
27,69,04/05/2020,158,51,442,75
27,79,04/05/2020,257,60,509,180
27,89,04/05/2020,402,19,535,392
27,90,04/05/2020,207,0,190,195
28,0,04/05/2020,577,81,1117,359
28,9,04/05/2020,0,0,3,0
28,19,04/05/2020,1,0,5,0
28,29,04/05/2020,2,0,42,0
28,39,04/05/2020,9,2,83,1
28,49,04/05/2020,13,7,126,10
28,59,04/05/2020,44,16,194,14
28,69,04/05/2020,94,22,222,53
28,79,04/05/2020,128,26,216,78
28,89,04/05/2020,177,8,169,140
28,90,04/05/2020,109,0,51,63
